Age,f.l.X0,f.l.X1,f.l.X2,f.l.X3,f.l.X4,f.l.X5,f.h.X0,f.h.X1,f.h.X2,f.h.X3,f.h.X4,f.h.X5,m.l.X0,m.l.X1,m.l.X2,m.l.X3,m.l.X4,m.l.X5,m.h.X0,m.h.X1,m.h.X2,m.h.X3,m.h.X4,m.h.X5
13,0.0340922,0.0340922,0.0204670,0.0081868,0.0409340,0.0347234,0.0385310,0.0385310,0.0231105,0.0092442,0.0462209,0.0392411,0.0896431,0.0896431,0.0532025,0.0212810,0.1064050,0.0912058,0.1005616,0.1005616,0.0595490,0.0238196,0.1190980,0.1022932
14,0.0119088,0.0119088,0.0070812,0.0028325,0.0141624,0.0121186,0.0133760,0.0133760,0.0079366,0.0031746,0.0158731,0.0136089,0.0289313,0.0289313,0.0167548,0.0067019,0.0335095,0.0293688,0.0319422,0.0319422,0.0184047,0.0073619,0.0368094,0.0324098
15,0.0158025,0.0158025,0.0093427,0.0037371,0.0186853,0.0160724,0.0176833,0.0176833,0.0104251,0.0041700,0.0208502,0.0179806,0.0366761,0.0366761,0.0209576,0.0083830,0.0419152,0.0371841,0.0401407,0.0401407,0.0227919,0.0091168,0.0455838,0.0406723
