Age,f.l.X0,f.l.X1,f.l.X2,f.l.X3,f.l.X4,f.l.X5,f.h.X0,f.h.X1,f.h.X2,f.h.X3,f.h.X4,f.h.X5,m.l.X0,m.l.X1,m.l.X2,m.l.X3,m.l.X4,m.l.X5,m.h.X0,m.h.X1,m.h.X2,m.h.X3,m.h.X4,m.h.X5
13,0.0534033,0.0534033,0.0319321,0.0127729,0.0638643,0.0543720,0.0534033,0.0534033,0.0359454,0.0143782,0.0718909,0.1540739,0.1359904,0.1359904,0.0799481,0.0319793,0.1598963,0.1382383,0.1516137,0.1516137,0.0888506,0.0355403,0.1777013,0.1540739
14,0.0181546,0.0181546,0.0106953,0.0042781,0.0213906,0.0184586,0.0181546,0.0181546,0.0119021,0.0047608,0.0238042,0.0451743,0.0409815,0.0409815,0.0232325,0.0092930,0.0464650,0.0415179,0.0446203,0.0446203,0.0251176,0.0100470,0.0502352,0.0451743
15,0.0237053,0.0237053,0.0138454,0.0055381,0.0276907,0.0240829,0.0237053,0.0237053,0.0153067,0.0061227,0.0306134,0.0544471,0.0500859,0.0500859,0.0278773,0.0111509,0.0557546,0.0506534,0.0538808,0.0538808,0.0297364,0.0118946,0.0594728,0.0544471
