age,f.l.X0,f.l.X1,f.l.X2,f.l.X3,f.l.X4,f.l.X5,f.h.X0,f.h.X1,f.h.X2,f.h.X3,f.h.X4,f.h.X5,m.l.X0,m.l.X1,m.l.X2,m.l.X3,m.l.X4,m.l.X5,m.h.X0,m.h.X1,m.h.X2,m.h.X3,m.h.X4,m.h.X5
12,0.130720324,0.130720324,0.08778192,0.035112768,0.17556384,0.190022066,0.05963564,0.05963564,0.041293421,0.016517369,0.082586843,0.090276365,0.088609828,0.088609828,0.060588805,0.024235522,0.12117761,0.131917768,0.039258169,0.039258169,0.027427136,0.010970855,0.054854273,0.060138787
13,0.148269368,0.148269368,0.096584553,0.038633821,0.193169106,0.207498532,0.06848978,0.06848978,0.046094106,0.018437642,0.092188211,0.10008586,0.101248418,0.101248418,0.067226009,0.026890404,0.134452019,0.145320035,0.045822292,0.045822292,0.031816238,0.012726495,0.063632475,0.069647158
14,0.16766161,0.16766161,0.108371349,0.043348539,0.216742697,0.232246874,0.078535874,0.078535874,0.052635544,0.021054218,0.105271088,0.114131446,0.115433647,0.115433647,0.076201468,0.030480587,0.152402936,0.16441078,0.053329074,0.053329074,0.036809012,0.014723605,0.073618025,0.08044389
15,0.188953484,0.188953484,0.121104181,0.048441672,0.242208361,0.258844726,0.089896511,0.089896511,0.05996771,0.023987084,0.11993542,0.129828722,0.131280152,0.131280152,0.086106063,0.034442425,0.172212126,0.185394198,0.061894656,0.061894656,0.042471577,0.016988631,0.084943155,0.09266409
16,0.212166863,0.212166863,0.134743526,0.05389741,0.269487052,0.28717976,0.102695436,0.102695436,0.068146365,0.027258546,0.13629273,0.147280952,0.148889829,0.148889829,0.096964525,0.03878581,0.193929049,0.208298255,0.0716434,0.0716434,0.048872105,0.019548842,0.097744209,0.106445061
17,0.237281414,0.237281414,0.149222608,0.059689043,0.298445215,0.317083689,0.117053736,0.117053736,0.077219949,0.030887979,0.154439897,0.166572524,0.168345073,0.168345073,0.108783433,0.043513373,0.217566867,0.233109906,0.082706478,0.082706478,0.056079173,0.022431669,0.112158346,0.121922348
18,0.264227902,0.264227902,0.164446524,0.06577861,0.328893048,0.348332597,0.133084977,0.133084977,0.087226075,0.03489043,0.174452151,0.187761507,0.189701288,0.189701288,0.121547473,0.048618989,0.243094947,0.259768181,0.095219684,0.095219684,0.064159579,0.025663832,0.128319159,0.139224656
